2067-02-20 334_40 033_23 310_08 300_26 264_19 255_31 131_04 225_28 066_43 334_43 240_16 1.00 12.48 F001.43 F001.23 F000.65 F000.10 R359.95 R000.00 F000.00 F000.00 359.95
2067-02-21 335_40 045_52 311_34 301_40 264_58 255_37 131_01 225_28 066_43 334_43 240_13 1.00 12.20 F001.45 F001.20 F000.70 F000.10 R359.92 R000.00 F000.00 F000.05 359.95
2067-02-22 336_40 058_04 313_01 302_52 265_40 255_43 130_56 225_28 066_43 334_46 240_10 1.00 11.95 F001.45 F001.20 F000.68 F000.12 R359.93 R359.97 F000.00 F000.03 359.95
2067-02-23 337_40 070_01 314_28 304_04 266_21 255_50 130_52 225_26 066_43 334_48 240_07 0.97 11.85 F001.50 F001.23 F000.67 F000.10 R359.95 R000.00 F000.00 F000.02 359.95
2067-02-24 338_38 081_52 315_58 305_18 267_01 255_56 130_49 225_26 066_43 334_49 240_04 1.00 11.80 F001.50 F001.22 F000.67 F000.13 R359.93 R359.98 F000.03 F000.03 359.95
2067-02-25 339_38 093_40 317_28 306_31 267_41 256_04 130_45 225_25 066_45 334_51 240_01 0.98 11.85 F001.55 F001.20 F000.68 F000.10 R359.92 R000.00 F000.00 F000.02 359.95
2067-02-26 340_37 105_31 319_01 307_43 268_22 256_10 130_40 225_25 066_45 334_52 239_58 1.00 11.98 F001.55 F001.20 F000.70 F000.10 R359.95 R000.00 F000.02 F000.02 359.93
2067-02-27 341_37 117_30 320_34 308_55 269_04 256_16 130_37 225_25 066_46 334_53 239_54 1.00 12.15 F001.57 F001.22 F000.68 F000.10 R359.95 R359.98 F000.00 F000.03 359.93
2067-02-28 342_37 129_39 322_08 310_08 269_45 256_22 130_34 225_24 066_46 334_55 239_50 0.98 12.37 F001.62 F001.23 F000.67 F000.07 R359.93 R000.00 F000.00 F000.02 359.97
2067-02-29 343_36 142_01 323_45 311_22 270_25 256_26 130_30 225_24 066_46 334_56 239_48 1.00 12.60 F001.62 F001.20 F000.68 F000.12 R359.92 R359.97 F000.00 F000.03 359.95
2067-02-30 344_36 154_37 325_22 312_34 271_06 256_33 130_25 225_22 066_46 334_58 239_45 0.97 12.88 F001.65 F001.20 F000.67 F000.07 R359.95 R000.00 F000.02 F000.03 359.93
2067-02-31 345_34 167_30 327_01 313_46 271_46 256_37 130_22 225_22 066_47 335_00 239_41 1.00 13.07 F001.67 F001.23 F000.67 F000.10 R359.95 R359.97 F000.00 F000.02 359.93
2067-03-01 346_34 180_34 328_41 315_00 272_26 256_43 130_19 225_20 066_47 335_01 239_37 0.98 13.30 F001.68 F001.22 F000.68 F000.10 R359.95 R359.98 F000.03 F000.03 359.95
2067-03-02 347_33 193_52 330_22 316_13 273_07 256_49 130_16 225_19 066_49 335_03 239_34 1.00 13.45 F001.75 F001.20 F000.70 F000.07 R359.95 R000.00 F000.00 F000.02 359.95
2067-03-03 348_33 207_19 332_07 317_25 273_49 256_53 130_13 225_19 066_49 335_04 239_31 0.97 13.65 F001.73 F001.22 F000.65 F000.08 R359.95 R000.00 F000.02 F000.03 359.95
2067-03-04 349_31 220_58 333_51 318_38 274_28 256_58 130_10 225_19 066_50 335_06 239_28 1.00 13.75 F001.77 F001.23 F000.70 F000.08 R359.95 R359.98 F000.00 F000.02 359.95
2067-03-05 350_31 234_43 335_37 319_52 275_10 257_03 130_07 225_18 066_50 335_07 239_25 0.98 13.90 F001.77 F001.20 F000.68 F000.07 R359.95 R359.97 F000.03 F000.02 359.95
2067-03-06 351_30 248_37 337_23 321_04 275_51 257_07 130_04 225_16 066_52 335_08 239_22 0.97 14.05 F001.83 F001.23 F000.67 F000.07 R359.95 R359.98 F000.00 F000.03 359.95
2067-03-07 352_28 262_40 339_13 322_18 276_31 257_11 130_01 225_15 066_52 335_10 239_19 1.00 14.15 F001.83 F001.22 F000.67 F000.08 R359.95 R359.97 F000.03 F000.00 359.95
2067-03-08 353_28 276_49 341_03 323_31 277_11 257_16 129_58 225_13 066_54 335_10 239_16 0.97 14.25 F001.87 F001.20 F000.68 F000.05 R359.95 R000.00 F000.02 F000.05 359.95
2067-03-09 354_26 291_04 342_55 324_43 277_52 257_19 129_55 225_13 066_55 335_13 239_13 0.98 14.30 F001.88 F001.22 F000.70 F000.05 R359.95 R359.97 F000.00 F000.00 359.95
2067-03-10 355_25 305_22 344_48 325_56 278_34 257_22 129_52 225_11 066_55 335_13 239_10 1.00 14.32 F001.92 F001.23 F000.65 F000.07 R359.95 R359.98 F000.03 F000.05 359.95
2067-03-11 356_25 319_41 346_43 327_10 279_13 257_26 129_49 225_10 066_57 335_16 239_07 0.97 14.23 F001.92 F001.20 F000.70 F000.07 R359.95 R359.98 F000.02 F000.00 359.93
2067-03-12 357_23 333_55 348_38 328_22 279_55 257_30 129_46 225_09 066_58 335_16 239_03 0.98 14.05 F001.97 F001.23 F000.65 F000.05 R359.98 R359.97 F000.00 F000.05 359.95
