2089-03-30 015_19 254_31 010_22 329_58 109_01 199_26 032_57 315_58 115_16 358_16 172_16 0.98 11.95 R359.40 F000.85 F000.40 R359.88 F000.12 F000.05 E000.00 F000.03 359.95
2089-04-01 016_18 266_28 009_46 330_49 109_25 199_19 033_04 316_01 115_16 358_18 172_13 0.97 11.90 R359.40 F000.87 F000.40 R359.87 F000.13 F000.03 F000.00 F000.02 359.95
2089-04-02 017_16 278_22 009_10 331_41 109_49 199_11 033_12 316_03 115_16 358_19 172_10 0.95 11.88 R359.45 F000.88 F000.40 R359.88 F000.12 F000.05 F000.00 F000.03 359.92
2089-04-03 018_13 290_15 008_37 332_34 110_13 199_04 033_19 316_06 115_16 358_21 172_05 0.97 11.97 R359.50 F000.90 F000.40 R359.85 F000.13 F000.02 F000.00 F000.02 359.97
2089-04-04 019_11 302_13 008_07 333_28 110_37 198_55 033_27 316_07 115_16 358_22 172_03 0.98 12.13 R359.60 F000.90 F000.42 R359.90 F000.12 F000.02 F000.00 F000.00 359.95
2089-04-05 020_10 314_21 007_43 334_22 111_02 198_49 033_34 316_08 115_16 358_22 172_00 0.97 12.37 R359.62 F000.90 F000.43 R359.85 F000.13 F000.03 F000.00 F000.05 359.93
2089-04-06 021_08 326_43 007_20 335_16 111_28 198_40 033_42 316_10 115_16 358_25 171_56 0.98 12.65 R359.73 F000.95 F000.40 R359.88 F000.12 F000.05 F000.00 F000.00 359.97
2089-04-07 022_07 339_22 007_04 336_13 111_52 198_33 033_49 316_13 115_16 358_25 171_54 0.95 13.02 R359.77 F000.90 F000.45 R359.87 F000.15 F000.03 F000.02 F000.02 359.93
2089-04-08 023_04 352_23 006_50 337_07 112_19 198_25 033_58 316_15 115_17 358_26 171_50 0.98 13.38 R359.88 F000.95 F000.40 R359.88 F000.10 F000.02 F000.00 F000.03 359.93
2089-04-09 024_03 005_46 006_43 338_04 112_43 198_18 034_04 316_16 115_17 358_28 171_46 0.97 13.75 R359.93 F000.95 F000.45 R359.87 F000.15 F000.05 F000.00 F000.03 359.95
2089-04-10 025_01 019_31 006_39 339_01 113_10 198_10 034_13 316_19 115_17 358_30 171_43 0.95 14.10 E000.02 F000.95 F000.42 R359.88 F000.13 F000.00 F000.03 F000.02 359.95
2089-04-11 025_58 033_37 006_40 339_58 113_35 198_03 034_21 316_19 115_19 358_31 171_40 0.97 14.33 F000.10 F000.95 F000.45 R359.87 F000.12 F000.05 F000.00 F000.00 359.95
2089-04-12 026_56 047_57 006_46 340_55 114_02 197_55 034_28 316_22 115_19 358_31 171_37 0.98 14.50 F000.15 F000.95 F000.43 R359.88 F000.13 F000.02 F000.00 F000.05 359.95
2089-04-13 027_55 062_27 006_55 341_52 114_28 197_48 034_36 316_23 115_19 358_34 171_34 0.95 14.55 F000.25 F001.00 F000.45 R359.87 F000.12 F000.03 F000.00 F000.00 359.95
2089-04-14 028_52 077_00 007_10 342_52 114_55 197_40 034_43 316_25 115_19 358_34 171_31 0.98 14.52 F000.35 F000.95 F000.45 R359.88 F000.15 F000.02 F000.00 F000.03 359.95
2089-04-15 029_51 091_31 007_31 343_49 115_22 197_33 034_52 316_26 115_19 358_36 171_28 0.97 14.38 F000.38 F001.00 F000.45 R359.87 F000.10 F000.03 F000.02 F000.02 359.95
