1942-04-06 021_46 272_16 038_23 336_49 072_52 059_13 036_34 036_25 154_19 100_30 137_10 0.98 14.00 F001.75 F001.10 F000.63 F000.20 F000.15 F000.05 R000.00 F000.00 359.95
1942-04-07 022_45 286_16 040_08 337_55 073_30 059_25 036_43 036_28 154_19 100_30 137_07 0.97 13.60 F001.72 F001.10 F000.62 F000.22 F000.13 F000.05 R359.98 F000.02 359.95
1942-04-08 023_43 299_52 041_51 339_01 074_07 059_38 036_51 036_31 154_18 100_31 137_04 0.95 13.25 F001.62 F001.08 F000.60 F000.22 F000.12 F000.08 R359.97 F000.00 359.95
1942-04-09 024_40 313_07 043_28 340_06 074_43 059_51 036_58 036_36 154_16 100_31 137_01 0.97 12.95 F001.60 F001.07 F000.60 F000.22 F000.13 F000.03 R000.00 F000.00 359.95
1942-04-10 025_38 326_04 045_04 341_10 075_19 060_04 037_06 036_38 154_16 100_31 136_58 0.98 12.70 F001.50 F001.10 F000.63 F000.20 F000.12 F000.07 R359.98 F000.02 359.93
1942-04-11 026_37 338_46 046_34 342_16 075_57 060_16 037_13 036_42 154_15 100_32 136_54 0.95 12.48 F001.45 F001.10 F000.62 F000.20 F000.13 F000.07 R359.97 F000.00 359.93
1942-04-12 027_34 351_15 048_01 343_22 076_34 060_28 037_21 036_46 154_13 100_32 136_50 0.98 12.32 F001.40 F001.10 F000.60 F000.20 F000.12 F000.05 R000.00 F000.03 359.97
1942-04-13 028_33 003_34 049_25 344_28 077_10 060_40 037_28 036_49 154_13 100_34 136_48 0.97 12.20 F001.35 F001.10 F000.60 F000.22 F000.15 F000.05 R000.00 F000.00 359.95
1942-04-14 029_31 015_46 050_46 345_34 077_46 060_53 037_37 036_52 154_13 100_34 136_45 0.95 12.05 F001.25 F001.10 F000.63 F000.23 F000.13 F000.05 R359.97 F000.00 359.93
1942-04-15 030_28 027_49 052_01 346_40 078_24 061_07 037_45 036_55 154_11 100_34 136_41 0.97 12.00 F001.20 F001.13 F000.62 F000.20 F000.12 F000.08 R359.98 F000.02 359.97
