1918-03-29 015_09 225_19 012_07 329_06 141_11 050_21 105_13 304_31 101_37 071_02 242_04 0.97 12.60 R359.35 F001.02 F000.07 F000.22 F000.05 F000.03 F000.03 F000.03 359.95
1918-03-30 016_07 237_55 011_28 330_07 141_15 050_34 105_16 304_33 101_39 071_04 242_01 0.95 12.83 R359.35 F001.02 F000.05 F000.20 F000.05 F000.02 F000.00 F000.00 359.95
1918-04-01 017_04 250_45 010_49 331_08 141_18 050_46 105_19 304_34 101_39 071_04 241_58 1.00 13.07 R359.43 F001.03 F000.07 F000.20 F000.02 F000.03 F000.02 F000.00 359.95
1918-04-02 018_04 263_49 010_15 332_10 141_22 050_58 105_20 304_36 101_40 071_04 241_55 0.95 13.35 R359.43 F001.05 F000.07 F000.23 F000.07 F000.02 F000.00 F000.02 359.95
1918-04-03 019_01 277_10 009_41 333_13 141_26 051_12 105_24 304_37 101_40 071_05 241_52 0.98 13.65 R359.53 F001.05 F000.12 F000.22 F000.02 F000.02 F000.00 F000.03 359.95
1918-04-04 020_00 290_49 009_13 334_16 141_33 051_25 105_25 304_38 101_40 071_07 241_49 0.97 14.00 R359.55 F001.05 F000.10 F000.20 F000.05 F000.03 F000.03 F000.00 359.95
1918-04-05 020_58 304_49 008_46 335_19 141_39 051_37 105_28 304_40 101_42 071_07 241_46 0.95 14.35 R359.65 F001.05 F000.12 F000.20 F000.05 F000.02 F000.00 F000.03 359.92
1918-04-06 021_55 319_10 008_25 336_22 141_46 051_49 105_31 304_41 101_42 071_09 241_41 0.97 14.60 R359.70 F001.05 F000.10 F000.22 F000.05 F000.03 F000.02 F000.02 359.97
1918-04-07 022_53 333_46 008_07 337_25 141_52 052_02 105_34 304_43 101_43 071_10 241_39 0.98 14.83 R359.78 F001.05 F000.15 F000.23 F000.05 F000.00 F000.00 F000.00 359.93
1918-04-08 023_52 348_36 007_54 338_28 142_01 052_16 105_37 304_43 101_43 071_10 241_35 0.95 14.92 R359.85 F001.05 F000.15 F000.20 F000.05 F000.03 F000.03 F000.03 359.97
1918-04-09 024_49 003_31 007_45 339_31 142_10 052_28 105_40 304_45 101_45 071_12 241_33 0.98 14.83 R359.92 F001.08 F000.15 F000.23 F000.05 F000.02 F000.00 F000.02 359.95
1918-04-10 025_48 018_21 007_40 340_36 142_19 052_42 105_43 304_46 101_45 071_13 241_30 0.97 14.65 E000.00 F001.07 F000.15 F000.22 F000.05 F000.03 F000.02 F000.03 359.92
1918-04-11 026_46 033_00 007_40 341_40 142_28 052_55 105_46 304_48 101_46 071_15 241_25 0.95 14.35 F000.10 F001.08 F000.20 F000.22 F000.05 F000.02 F000.00 F000.02 359.95
1918-04-12 027_43 047_21 007_46 342_45 142_40 053_08 105_49 304_49 101_46 071_16 241_22 0.97 13.93 F000.15 F001.07 F000.17 F000.23 F000.05 F000.00 F000.02 F000.00 359.95
1918-04-13 028_41 061_17 007_55 343_49 142_50 053_22 105_52 304_49 101_47 071_16 241_19 0.98 13.53 F000.25 F001.07 F000.22 F000.20 F000.08 F000.03 F000.03 F000.02 359.95
1918-04-14 029_40 074_49 008_10 344_53 143_03 053_34 105_57 304_51 101_49 071_17 241_16 0.95 13.13 F000.30 F001.08 F000.20 F000.22 F000.05 F000.02 F000.00 F000.03 359.95
1918-04-15 030_37 087_57 008_28 345_58 143_15 053_47 106_00 304_52 101_49 071_19 241_13 0.98 12.72 F000.40 F001.10 F000.22 F000.23 F000.07 F000.00 F000.02 F000.00 359.95
