1931-03-23 008_58 066_43 020_01 333_25 104_25 080_49 270_16 353_22 130_13 085_52 350_46 0.97 13.30 R359.67 F001.18 F000.37 F000.13 F000.03 F000.07 R000.00 F000.00 359.95
1931-03-24 009_56 080_01 019_41 334_36 104_47 080_57 270_18 353_26 130_13 085_52 350_43 0.98 13.60 R359.62 F001.20 F000.42 F000.12 F000.02 F000.07 R359.97 F000.03 359.95
1931-03-25 010_55 093_37 019_18 335_48 105_12 081_04 270_19 353_30 130_11 085_54 350_40 0.98 13.85 R359.52 F001.20 F000.37 F000.15 F000.00 F000.05 R000.00 F000.00 359.95
1931-03-26 011_54 107_28 018_49 337_00 105_34 081_13 270_19 353_33 130_11 085_54 350_37 0.97 14.15 R359.48 F001.17 F000.40 F000.15 F000.03 F000.05 R359.98 F000.02 359.95
1931-03-27 012_52 121_37 018_18 338_10 105_58 081_22 270_21 353_36 130_10 085_55 350_34 0.97 14.40 R359.42 F001.20 F000.40 F000.13 F000.00 F000.07 R000.00 F000.00 359.95
1931-03-28 013_50 136_01 017_43 339_22 106_22 081_30 270_21 353_40 130_10 085_55 350_31 0.98 14.60 R359.40 F001.20 F000.40 F000.15 F000.02 F000.05 R000.00 F000.00 359.95
1931-03-29 014_49 150_37 017_07 340_34 106_46 081_39 270_22 353_43 130_10 085_55 350_28 0.98 14.70 R359.35 F001.20 F000.40 F000.13 F000.00 F000.05 R359.98 F000.03 359.95
1931-03-30 015_48 165_19 016_28 341_46 107_10 081_47 270_22 353_46 130_09 085_57 350_25 0.97 14.75 R359.35 F001.20 F000.42 F000.13 F000.00 F000.05 R000.00 F000.00 359.93
1931-04-01 016_46 180_04 015_49 342_58 107_35 081_55 270_22 353_49 130_09 085_57 350_21 0.95 14.70 R359.35 F001.20 F000.43 F000.15 F000.00 F000.05 R359.97 F000.02 359.95
1931-04-02 017_43 194_46 015_10 344_10 108_01 082_04 270_22 353_52 130_07 085_58 350_18 0.97 14.45 R359.35 F001.20 F000.40 F000.15 F000.00 F000.05 R000.00 F000.00 359.95
1931-04-03 018_41 209_13 014_31 345_22 108_25 082_13 270_22 353_55 130_07 085_58 350_15 0.98 14.20 R359.40 F001.18 F000.45 F000.15 B000.00 F000.05 R000.00 F000.00 359.93
1931-04-04 019_40 223_25 013_55 346_33 108_52 082_22 270_22 353_58 130_07 085_58 350_11 0.95 13.80 R359.40 F001.20 F000.40 F000.17 R000.00 F000.05 R000.00 F000.03 359.95
1931-04-05 020_37 237_13 013_19 347_45 109_16 082_32 270_22 354_01 130_07 086_00 350_08 1.00 13.40 R359.45 F001.18 F000.45 F000.17 R000.00 F000.05 R000.00 F000.02 359.97
1931-04-06 021_37 250_37 012_46 348_56 109_43 082_42 270_22 354_04 130_07 086_01 350_06 0.95 13.00 R359.53 F001.20 F000.43 F000.17 R000.00 F000.05 R000.00 F000.00 359.92
1931-04-07 022_34 263_37 012_18 350_08 110_09 082_52 270_22 354_07 130_07 086_01 350_01 0.98 12.65 R359.53 F001.22 F000.43 F000.15 R000.00 F000.07 R359.97 F000.02 359.95
1931-04-08 023_33 276_16 011_50 351_21 110_35 083_01 270_22 354_11 130_05 086_02 349_58 0.97 12.30 R359.63 F001.20 F000.43 F000.15 R359.98 F000.07 R000.00 F000.00 359.95
1931-04-09 024_31 288_34 011_28 352_33 111_01 083_10 270_21 354_15 130_05 086_02 349_55 0.95 12.05 R359.70 F001.20 F000.45 F000.17 R000.00 F000.05 R000.00 F000.03 359.95
1931-04-10 025_28 300_37 011_10 353_45 111_28 083_20 270_21 354_18 130_05 086_04 349_52 0.97 11.90 R359.75 F001.18 F000.45 F000.17 R359.97 F000.05 R000.00 F000.00 359.95
1931-04-11 026_26 312_31 010_55 354_56 111_55 083_30 270_19 354_21 130_05 086_04 349_49 0.98 11.80 R359.85 F001.20 F000.45 F000.17 R000.00 F000.03 R000.00 F000.02 359.95
1931-04-12 027_25 324_19 010_46 356_08 112_22 083_40 270_19 354_23 130_05 086_05 349_46 0.95 11.80 R359.92 F001.22 F000.47 F000.15 R359.98 F000.05 R000.00 F000.03 359.95
1931-04-13 028_22 336_07 010_41 357_21 112_50 083_49 270_18 354_26 130_05 086_07 349_43 0.95 11.90 E359.98 F001.20 F000.45 F000.20 R359.97 F000.07 R000.00 F000.00 359.95
1931-04-14 029_19 348_01 010_40 358_33 113_17 084_01 270_16 354_30 130_05 086_07 349_40 0.98 12.03 F000.08 F001.20 F000.48 F000.15 R000.00 F000.05 R000.00 F000.03 359.95
1931-04-15 030_18 000_03 010_45 359_45 113_46 084_10 270_16 354_33 130_05 086_09 349_37 0.97 12.22 F000.15 F001.20 F000.45 F000.17 R359.98 F000.05 E000.00 F000.02 359.95
